Product title,Brand,Model,Total price (LKR),Discount price (if available),RAM,Storage,Processor,Battery capacity,Camera specs,Display size,Operating system,Network type,Warranty,Stock availability,Seller / store name,Posted date,Product URL
Apple iPhone 12 Pro Max 256GB (Used),Apple,Apple iPhone 12 Pro Max 256GB (Used),117500,,,256GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-12-pro-max-256gb-used-for-sale-gampaha-5755
Apple iPhone XS 256GB Fullset Box (Used),Apple,Apple iPhone XS 256GB Fullset Box (Used),59500,,,256GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-xs-256gb-fullset-box-used-for-sale-anuradhapura-1
Apple iPhone 11 Pro Max 256GB (Used),Apple,Apple iPhone 11 Pro Max 256GB (Used),92999,,,256GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-11-pro-max-256gb-used-for-sale-colombo-6476
Samsung Galaxy A36 5G 8GB 256GB (Brand New),Samsung,Samsung Galaxy A36 5G 8GB 256GB (Brand New),76960,,,8GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/samsung-galaxy-a36-5g-8gb-256gb-brand-new-for-sale-colombo-87
Moto G45|8GB|128GB|5G (Brand New),unknown,Moto G45|8GB|128GB|5G (Brand New),54490,,,8GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/moto-g458gb128gb5g-brand-new-for-sale-colombo
Apple iPhone 12 128GB (Used),Apple,Apple iPhone 12 128GB (Used),68500,,,128GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-12-128-gb-used-for-sale-polonnaruwa-6
Honor (Used),Honor,Honor (Used),100000,,,,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/honor-used-for-sale-colombo-85
Apple iPhone X 256GB (Used),Apple,Apple iPhone X 256GB (Used),35000,,,256GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-x-256gb-used-for-sale-ratnapura-2010
Samsung Galaxy S24 Ultra 12GB 512GB (Brand New),Samsung,Samsung Galaxy S24 Ultra 12GB 512GB (Brand New),279990,,,12GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/samsung-galaxy-s24-ultra-12gb-512gb-brand-new-for-sale-colombo-78
Apple iPhone 14 128GB (Used),Apple,Apple iPhone 14 128GB (Used),117999,,,128GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-14-128gb-used-for-sale-colombo-5958
Apple iPhone X (Used),Apple,Apple iPhone X (Used),58000,,,,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-x-used-for-sale-colombo-9411
Apple iPhone 13 256GB (Used),Apple,Apple iPhone 13 256GB (Used),103999,,,256GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-13-256gb-used-for-sale-colombo-1751
Honor 400 12GB 256GB (Used),Honor,Honor 400 12GB 256GB (Used),97500,,,12GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/honor-400-12-256-used-for-sale-puttalam
Xiaomi Redmi Note 14 5G|8GB|256GB|ANDROID (Brand New),Xiaomi,Xiaomi Redmi Note 14 5G|8GB|256GB|ANDROID (Brand New),74990,,,8GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/xiaomi-redmi-note-14-5g8gb256gbandroid-brand-new-for-sale-colombo-1
